TAZ_ID,AREA,SETTL_SIZE,CHILD_EDU,ADULT_EDU,STUDENTS,SOCECO,SECTOR_REST,SECTOR_ARA,SECTOR_ORT,POPULATION,HH_AVG_SIZE,HH_AVG_SIZE_ARAB,HH_AVG_SIZE_ORTO,HH_AVG_SIZE_REST,HH_TOT,HH_ARAB,HH_OTRO,HH_REST,EMPL_TOT,EMPL_INDU,EMPL_SERV,EMPL_OTHER,AGE_0_7,AGE_8_18,AGE_19_25,AGE_26_35,AGE_36_64,AGE_65,AGE_0_7_REST,AGE_8_18_REST,AGE_19_25_REST,AGE_26_35_REST,AGE_36_64_REST,AGE_65_REST,AGE_0_7_ARA,AGE_8_18_ARA,AGE_19_25_ARA,AGE_26_35_ARA,AGE_36_64_ARA,AGE_65_ARA,AGE_0_7_ORT,AGE_8_18_ORT,AGE_19_25_ORT,AGE_26_35_ORT,AGE_36_64_ORT,AGE_65_ORT,GIZRA,TABAAT,SZ_OLD,SZ_NEW,PRIMARY_NAFA,SECONDARY_NAFA,PERC_PRIMARY_NAFA,PERC_SECONDARY_NAFA
101,17.83,2,1091,373,0,6,0.984838497,0,0.015161503,9102,2.897803247,0,3.365853659,2.891612903,3141,0,41,3100,6613,2169,3492,952,1091,1676,865,1022,3329,1119,1066,1644,848,1005,3291,1110,0,0,0,0,0,0,25,32,17,17,38,9,31,3,1,1,עכו,,1,0
102,6.50,2,498,915,0,7,1,0,0,2498,3.455048409,0,0,3.455048409,723,0,0,723,1500,492,792,216,277,582,260,170,974,235,277,582,260,170,974,235,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
103,1.31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,90,145,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
104,1.23,3,200,0,0,3,1,0,0,2876,2.298960831,0,0,2.298960831,1251,0,0,1251,170,56,90,24,288,325,266,379,1011,607,288,325,266,379,1011,607,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
105,1.01,3,583,0,0,6,1,0,0,11328,2.778513613,0,0,2.778513613,4077,0,0,4077,1149,377,607,165,1665,1867,870,1492,4004,1430,1665,1867,870,1492,4004,1430,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
106,0.83,3,1778,0,0,7,1,0,0,7604,2.44344473,0,0,2.44344473,3112,0,0,3112,10826,3551,5716,1559,773,949,555,818,2501,2008,773,949,555,818,2501,2008,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
107,8.13,2,302,971,0,5,0.290431386,0.709568614,0,5633,3.479308215,3.656907594,0,3.11026616,1619,1093,0,526,2414,792,1274,348,825,870,588,980,1819,551,246,252,115,217,550,256,579,618,473,763,1269,295,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
108,13.20,2,525,0,0,8,1,0,0,3562,3.197486535,0,0,3.197486535,1114,0,0,1114,3238,1062,1710,466,521,701,260,342,1195,543,521,701,260,342,1195,543,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
109,43.77,2,688,358,0,7,1,0,0,4118,3.194724593,0,0,3.194724593,1289,0,0,1289,3049,1000,1610,439,545,822,343,427,1503,478,545,822,343,427,1503,478,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
110,32.13,2,588,572,0,5,0.518524408,0.467800922,0.01367467,6289,3.449808009,3.922666667,3.583333333,3.108674929,1823,750,24,1049,1455,477,768,210,907,1138,672,860,2003,709,454,541,236,374,1106,550,435,578,427,474,875,153,18,19,9,12,22,6,31,3,1,1,עכו,,1,0
111,1.50,3,0,0,0,6,0.953875833,0,0.046124167,5702,2.595357305,0,3.094117647,2.575284091,2197,0,85,2112,1439,472,760,207,649,874,508,722,2047,902,604,819,478,686,1973,879,0,0,0,0,0,0,45,55,30,36,74,23,31,3,1,1,עכו,,1,0
112,0.99,3,786,56,0,4,0.929574422,0,0.070425578,4629,2.529508197,0,2.963636364,2.501744186,1830,0,110,1720,1172,384,619,169,777,907,334,545,1615,451,701,826,306,507,1529,434,0,0,0,0,0,0,76,81,28,38,86,17,31,3,1,1,עכו,,1,0
113,0.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2973,975,1570,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
114,0.15,3,165,0,0,3,1,0,0,1696,2.099009901,0,0,2.099009901,808,0,0,808,49,16,26,7,140,154,118,210,604,470,140,154,118,210,604,470,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
115,0.82,3,0,3544,0,7,1,0,0,9003,2.651840943,0,0,2.651840943,3395,0,0,3395,2345,769,1238,338,869,1271,764,961,3150,1988,869,1271,764,961,3150,1988,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
116,0.49,3,1124,0,0,7,1,0,0,5803,2.499138674,0,0,2.499138674,2322,0,0,2322,1460,479,771,210,675,879,450,640,2041,1118,675,879,450,640,2041,1118,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
117,1.31,3,571,0,0,7,1,0,0,7077,3.016624041,0,0,3.016624041,2346,0,0,2346,3119,1023,1647,449,690,1284,731,770,2644,958,690,1284,731,770,2644,958,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
118,0.38,3,0,0,0,7,1,0,0,3433,2.498544396,0,0,2.498544396,1374,0,0,1374,293,96,155,42,388,512,268,397,1270,598,388,512,268,397,1270,598,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
201,10.63,1,50,100,0,7,1,0,0,1943,3.128824477,0,0,3.128824477,621,0,0,621,1199,393,633,173,285,400,143,232,604,279,285,400,143,232,604,279,0,0,0,0,0,0,0,0,0,0,0,0,21,2,2,2,עכו,,1,0
202,0.47,3,0,0,0,5,0.900093371,0.029878618,0.070028011,2142,2.882907133,3.555555556,3.409090909,2.83113069,743,18,44,681,817,268,431,118,341,375,190,314,669,253,298,328,166,283,613,240,9,13,9,9,20,4,34,34,15,22,36,9,21,2,2,2,עכו,,1,0
