mode,component,status,what exists now,what is needed to complete it
car,ivt,derived,"survey door-to-door times, 2017/18, smoothed",a 2026 congestion uplift (Google Distance Matrix sample on ~40 pairs at 07:30) or the national model car skim; intra-area times for the 174-TAZ market
car,fare (operating cost),missing,—,per-km operating cost and the distance skim (survey TrvlDist is available per pair: car_dist_survey_area_v2.csv)
car,parking,missing,survey parkType (paid / free) by destination area as a proxy,"parking tariffs by destination area (Haifa municipality; Matam, Lower City, Bat Galim)"
car,VOT,missing,—,"נוהל פר""ת value of time by purpose (work / other), ILS per hour"
bus,ivt,derived (lower bound),fastest bus-served path on the May 2026 speed network,GTFS route paths per pair so the IVT follows actual services; keep the speed network for the running speeds
bus,walk,assumed,8 min,GTFS stop coordinates → TAZ access distance as done for the LRT
bus,wait,assumed,headway 10 min / 2,GTFS AM-peak headways on the pair's best route
bus,transfers,missing,—,"GTFS path building (or the OnBoard survey transfer field tfrs, 9 % of trips carry it)"
bus,fare,missing,—,fare tables of the metropolitan zones; integration with LRT
lrt,ivt,derived (10 trunk areas),calibrated function on hf_lrt_3 stations,"alignment + stations of the segment Hamifrats → Tsomet Kiryat Ata and of the three branches (T1 Kiryat Ata – Nazareth, T2 Krayot, T3 Kiryat Yam); the regime (underground / ground) per section instead of the two pure scenarios; a running / dwell decomposition of the coefficients"
lrt,walk,derived (10 trunk areas),TAZ centroid → nearest station,the same for the branch stations; a walking network instead of the 1.3 detour factor
lrt,wait,assumed,headway 6 min / 2,the planned AM-peak headway per branch
lrt,transfers,assumed (0 on the trunk),—,"the operating pattern: which branches are through-run, where the branches transfer"
lrt,fare,missing,—,fare policy (integrated ticket with bus assumed)
all,"weights (walk 2.0, wait 2.0, transfer 8)",assumed (plan defaults),LRT_CAPTURE_PLAN.md,"confirm against נוהל פר""ת; calibrate λ on the 2022 shares once the skims are complete"
all,geography,partial,25 V2 areas,TAZ 1509 (station S13) missing from the V2 aggregation; intra-area cells need a within-area treatment (task A2)
