TAZ,bus_stops_n,bus_lines_n,bus_lines,bus_dep_0609,bus_dep_0708,bus_headway_0708_min,bus_best_line_headway_0708_min,bus_direct_reach_taz_n,bus_direct_reach_30min_taz_n,bus_nearest_stop_m,bus_stops_per_km2,bus_LOS_frequency,brt_stops_n,brt_lines_n,brt_lines,brt_dep_0609,brt_dep_0708,brt_headway_0708_min,brt_best_line_headway_0708_min,brt_direct_reach_taz_n,brt_direct_reach_30min_taz_n,brt_nearest_stop_m,brt_stops_per_km2,brt_LOS_frequency,brt_access,brt_lines_named,AggCode_V2,AggAreaName_V2
2112,0,0,,0,0,,,0,0,22151.11,0.00,no service,0,0,,0,0,,,0,0,22312.12,0.00,no service,0,,,
2107,0,0,,0,0,,,0,0,27545.18,0.00,no service,0,0,,0,0,,,0,0,28060.12,0.00,no service,0,,,
2208,0,0,,0,0,,,0,0,16150.03,0.00,no service,0,0,,0,0,,,0,0,16362.24,0.00,no service,0,,,
2209,0,0,,0,0,,,0,0,15239.58,0.00,no service,0,0,,0,0,,,0,0,15239.58,0.00,no service,0,,,
2103,0,0,,0,0,,,0,0,20203.28,0.00,no service,0,0,,0,0,,,0,0,20921.69,0.00,no service,0,,,
2211,0,0,,0,0,,,0,0,17083.57,0.00,no service,0,0,,0,0,,,0,0,17240.80,0.00,no service,0,,,
2215,0,0,,0,0,,,0,0,16713.99,0.00,no service,0,0,,0,0,,,0,0,17050.59,0.00,no service,0,,,
2221,0,0,,0,0,,,0,0,16339.26,0.00,no service,0,0,,0,0,,,0,0,18066.02,0.00,no service,0,,,
2222,0,0,,0,0,,,0,0,17162.37,0.00,no service,0,0,,0,0,,,0,0,18103.36,0.00,no service,0,,,
108,0,0,,0,0,,,0,0,12444.34,0.00,no service,0,0,,0,0,,,0,0,19131.54,0.00,no service,0,,,
2201,0,0,,0,0,,,0,0,13644.26,0.00,no service,0,0,,0,0,,,0,0,14150.34,0.00,no service,0,,,
