o,o_name,d,d_name,bus_ivt_min,bus_trips_0609,bus_trips_0708,bus_headway_0708_min,brt_ivt_min,brt_trips_0609,brt_trips_0708,brt_headway_0708_min
101,TsurShalom,102,Kiryon,3.00,9,4,15.00,,,,
101,TsurShalom,103,KiryatBialik Center,6.00,9,4,15.00,,,,
101,TsurShalom,104,KiryatHaim,9.00,9,4,15.00,,,,
101,TsurShalom,210,Hamifrats,18.00,9,4,15.00,,,,
101,TsurShalom,211,Bazan-Hutsot,15.00,9,4,15.00,,,,
101,TsurShalom,212,TsometKiryatAta,12.00,9,4,15.00,,,,
102,Kiryon,101,TsurShalom,3.00,9,3,20.00,,,,
102,Kiryon,103,KiryatBialik Center,3.00,9,3,20.00,,,,
102,Kiryon,104,KiryatHaim,6.00,9,3,20.00,,,,
102,Kiryon,210,Hamifrats,15.00,9,3,20.00,,,,
102,Kiryon,211,Bazan-Hutsot,12.00,9,3,20.00,,,,
102,Kiryon,212,TsometKiryatAta,9.00,9,3,20.00,,,,
103,KiryatBialik Center,101,TsurShalom,6.00,9,3,20.00,,,,
103,KiryatBialik Center,102,Kiryon,3.00,9,3,20.00,,,,
103,KiryatBialik Center,104,KiryatHaim,3.00,9,3,20.00,,,,
103,KiryatBialik Center,210,Hamifrats,12.00,9,3,20.00,,,,
103,KiryatBialik Center,211,Bazan-Hutsot,9.00,9,3,20.00,,,,
103,KiryatBialik Center,212,TsometKiryatAta,6.00,9,3,20.00,,,,
104,KiryatHaim,101,TsurShalom,9.00,9,3,20.00,,,,
104,KiryatHaim,102,Kiryon,6.00,9,3,20.00,,,,
104,KiryatHaim,103,KiryatBialik Center,3.00,9,3,20.00,,,,
104,KiryatHaim,210,Hamifrats,9.00,9,3,20.00,,,,
104,KiryatHaim,211,Bazan-Hutsot,6.00,9,3,20.00,,,,
104,KiryatHaim,212,TsometKiryatAta,3.00,9,3,20.00,,,,
201,TiratCarmel,202,Matam-NeotPeres,3.00,9,4,15.00,,,,
201,TiratCarmel,203,HofCarmel-NeveDavid,6.00,9,4,15.00,,,,
201,TiratCarmel,204,Hecht-Shprintzak,9.00,9,4,15.00,,,,
201,TiratCarmel,205,EinHayam,12.00,9,4,15.00,,,,
201,TiratCarmel,206,BatGalim-KiryatEliezer,15.00,9,4,15.00,,,,
201,TiratCarmel,207,Hamoshava,18.00,9,4,15.00,,,,
201,TiratCarmel,208,LowerCity,21.00,8,4,15.00,,,,
201,TiratCarmel,209,Namal-Giborim,24.00,8,4,15.00,,,,
201,TiratCarmel,210,Hamifrats,27.00,8,4,15.00,,,,
201,TiratCarmel,211,Bazan-Hutsot,30.00,8,4,15.00,,,,
201,TiratCarmel,212,TsometKiryatAta,33.00,8,4,15.00,,,,
202,Matam-NeotPeres,201,TiratCarmel,3.00,9,3,20.00,,,,
202,Matam-NeotPeres,203,HofCarmel-NeveDavid,3.00,27,10,6.00,3.00,18.00,7.00,8.57
202,Matam-NeotPeres,204,Hecht-Shprintzak,6.00,27,10,6.00,6.00,18.00,7.00,8.57
202,Matam-NeotPeres,205,EinHayam,9.00,27,10,6.00,9.00,18.00,7.00,8.57
202,Matam-NeotPeres,206,BatGalim-KiryatEliezer,12.00,26,10,6.00,12.00,17.00,7.00,8.57
202,Matam-NeotPeres,207,Hamoshava,15.00,26,10,6.00,15.00,17.00,7.00,8.57
202,Matam-NeotPeres,208,LowerCity,18.00,25,10,6.00,18.00,17.00,7.00,8.57
202,Matam-NeotPeres,209,Namal-Giborim,21.00,24,10,6.00,21.00,16.00,7.00,8.57
202,Matam-NeotPeres,210,Hamifrats,24.00,24,10,6.00,24.00,16.00,7.00,8.57
202,Matam-NeotPeres,211,Bazan-Hutsot,27.00,24,10,6.00,27.00,16.00,7.00,8.57
202,Matam-NeotPeres,212,TsometKiryatAta,30.00,8,3,20.00,,,,
203,HofCarmel-NeveDavid,201,TiratCarmel,6.00,9,3,20.00,,,,
203,HofCarmel-NeveDavid,202,Matam-NeotPeres,3.00,27,9,6.67,3.00,18.00,6.00,10.00
203,HofCarmel-NeveDavid,204,Hecht-Shprintzak,3.00,27,9,6.67,3.00,18.00,6.00,10.00
203,HofCarmel-NeveDavid,205,EinHayam,6.00,27,9,6.67,6.00,18.00,6.00,10.00
203,HofCarmel-NeveDavid,206,BatGalim-KiryatEliezer,9.00,26,9,6.67,9.00,17.00,6.00,10.00
203,HofCarmel-NeveDavid,207,Hamoshava,12.00,26,9,6.67,12.00,17.00,6.00,10.00
203,HofCarmel-NeveDavid,208,LowerCity,15.00,25,9,6.67,15.00,17.00,6.00,10.00
203,HofCarmel-NeveDavid,209,Namal-Giborim,18.00,24,9,6.67,18.00,16.00,6.00,10.00
203,HofCarmel-NeveDavid,210,Hamifrats,21.00,24,9,6.67,21.00,16.00,6.00,10.00
203,HofCarmel-NeveDavid,211,Bazan-Hutsot,24.00,24,9,6.67,24.00,16.00,6.00,10.00
203,HofCarmel-NeveDavid,212,TsometKiryatAta,27.00,8,3,20.00,,,,
204,Hecht-Shprintzak,201,TiratCarmel,9.00,9,3,20.00,,,,
204,Hecht-Shprintzak,202,Matam-NeotPeres,6.00,27,9,6.67,6.00,18.00,6.00,10.00
204,Hecht-Shprintzak,203,HofCarmel-NeveDavid,3.00,27,9,6.67,3.00,18.00,6.00,10.00
